player_id,player,birth_year,hof,num_seasons,first_season,last_season
146,Roy Hurley,,False,1,1946-47,1946-47
147,Sonny Hertzberg,1922.0,False,5,1946-47,1950-51
148,Stan Miasek,1923.0,False,6,1946-47,1952-53
149,Stan Noszka,,False,3,1946-47,1948-49
150,Stan Stutz,,False,3,1946-47,1948-49
151,Tom Callahan,,False,1,1946-47,1946-47
152,Tom King,,False,1,1946-47,1946-47
153,Tommy Byrnes,1923.0,False,5,1946-47,1950-51
154,Tony Jaros,1920.0,False,4,1946-47,1950-51
155,Tony Kappen,,False,1,1946-47,1946-47
156,Virgil Vaughn,,False,1,1946-47,1946-47
157,Walt Miller,,False,1,1946-47,1946-47
158,Warren Fenley,,False,1,1946-47,1946-47
159,Wilbert Kautz,,False,1,1946-47,1946-47
160,Woody Grimshaw,,False,1,1946-47,1946-47
161,Wyndol Gray,,False,2,1946-47,1947-48
162,Andy Phillip,1922.0,True,11,1947-48,1957-58
163,Ben Schadler,,False,1,1947-48,1947-48
164,Bill Downey,,False,1,1947-48,1947-48
165,Bob Hubbard,,False,2,1947-48,1948-49
166,Bob O'Brien,,False,2,1947-48,1948-49
167,Buddy Jeannette,1917.0,True,3,1947-48,1949-50
168,Bulbs Ehlers,,False,2,1947-48,1948-49
169,Carl Braun,1927.0,True,13,1947-48,1960-62
170,Carl Meinhold,,False,2,1947-48,1948-49
171,Chet McNabb,,False,1,1947-48,1947-48
172,Chick Reiser,1914.0,False,3,1947-48,1949-50
173,Chink Crossin,1923.0,False,3,1947-48,1949-50
174,Dick Holub,,False,1,1947-48,1947-48
175,Dick O'Keefe,1923.0,False,4,1947-48,1950-51
176,Elmer Gainer,1918.0,False,2,1947-48,1949-50
177,Gene Rock,,False,1,1947-48,1947-48
178,Gene Stump,1923.0,False,3,1947-48,1949-50
179,Gene Vance,1923.0,False,5,1947-48,1951-52
180,Herm Fuetsch,,False,1,1947-48,1947-48
181,Herm Klotz,,False,1,1947-48,1947-48
182,Jack Hewson,,False,1,1947-48,1947-48
183,Jack Rocker,,False,1,1947-48,1947-48
184,Jack Tingle,,False,2,1947-48,1948-49
185,Jack Toomay,1922.0,False,3,1947-48,1949-50
186,Johnny Ezersky,1922.0,False,3,1947-48,1949-50
187,Johnny Jorgensen,,False,2,1947-48,1948-49
188,Lee Robbins,,False,2,1947-48,1948-49
189,Mel Thurston,,False,1,1947-48,1947-48
190,Mike Bloom,,False,2,1947-48,1948-49
191,Nat Hickey,,False,1,1947-48,1947-48
192,Paul Hoffman,1925.0,False,6,1947-48,1954-55
193,Paul Huston,,False,1,1947-48,1947-48
194,Paul Noel,1924.0,False,5,1947-48,1951-52
195,Paul Seymour,1928.0,False,12,1947-48,1959-60
